spéir	spʲeːrʲ	съпеэрь
tobac	təbaːk	тәбаак
éirí	airʲiː	айрий
éirigh	airʲə	айрјә
suaimhneach	siːmʲrʲəx	сыймрјәх
cheana	haːɴə	һааңә
aimhreas	æːwʲrʲəs	ӕврјәс
amharc	aːfrək	аафрәк
féasóig	fʲiːsoːg	фийсоог
féasógaí	fʲiːsoːgiː	фийсоогый
iontas	iɴtəs	иңтәс
ocras	ukras	украс
suíochán	siːxɑːɴ	сыйхӓӓң
suíocháin	siːxɑːnʲ	сыйхӓӓнь
donn	dauɴ	даўң
uaine	wenʲə	вэнјә
ceimic	kʲemʲəkʲ	кемјәкь
raidió	raːdʲoː	раадёо
codladh	koʟə	коӆә
aníos	əɴʲiːs	әңийс
alltracha	aːʟtrəxiː	ааӆтрәхый
céadtha	kʲeːtə	кеэтә
domhan	duːɴ	дууң
leathchéad	ʟʲæːheːd	ӆјӕһээд
gabh	gaː	гаа
domhain	dauɴ	даўң
furasta	frustə	фрустә
míshásta	mʲiːhɑːstə	мийһӓӓстә
scioptha	sʲkʲupiː	шкюпый
amach	əmaːx	әмаах
nuaíocht	ɴuːiːəxt	ңууыәхт
tuirse	tursʲə	туръшјә
cuimhnigh	kiːwʲrʲə	кыйврјә
cuimhniú	kiːwʲrʲuː	кыйврюу
tabhairt	toːrtʲ	тооръть
mímhúinte	mʲiːwuːɴʲtʲə	мийвууңтјә
spalptha	spaːʟpiː	спааӆпый
liom	ʟʲum	ӆюм
linn	ʟʲiɴʲ	ӆиңь
libh	ʟʲibʲ	ӆибь
leo	ʟʲoːb	ӆёоб
bealtaine	bʲaːʟtənʲə	бяаӆтәнјә
mairg	maːrʲəgʲ	маарјәгь
aráin	ərɑːnʲ	әрӓӓнь
bearradh	bʲɑːrə	бјӓрә
cailleadh	kɑːʟʲə	кӓӓӆјә
gearradh	gʲɑːrə	гјӓрә
lig	ʟʲigʲ	ӆигь
tarraingt	taːrəɴʲtʲ	таарәңть
gruama	gruːmə	груумә
amú	əmuː	әмуу
fúibh	fuːbʲ	фуубь
fúithu	fuːb	фууб
binse	bʲiːnʲsʲə	бийншјә
compóirt	kuːmpoːrtʲ	куумпооръть
paidreacha	paːdʲrʲəxiː	паадрјәхый
tomacha	tuməxiː	тумәхый
braith	braː	браа
fiafraí	fʲiːəriː	фиәрый
fiafraigh	fʲiːərə	фиәрә
corrdhuine	kaurɣinʲə	каўрғынјә
ceirnín	kʲernʲiːnʲ	керънийнь
ceirníní	kʲernʲiːnʲiː	керънийний
gealladh	gʲɑːʟə	гјӓӆә
taspáin	təspɑːnʲ	тәспӓӓнь
taspáint	təspɑːɴʲtʲ	тәспӓӓңть
tomhais	tesʲ	тэшь
déanta	dʲiːɴtə	дийңтә
dhom	ɣum	ғум
dhaoibh	ɣiːbʲ	ғыйбь
dhóibh	ɣoːbʲ	ғообь
geantracha	gʲɑːɴtrəxiː	гјӓңтрәхый
gliogar	gʲlʲigər	глигәр
leathuair	ʟʲæːuːərʲ	ӆјӕуәрь
plump	pʟump	пӆумп
guidh	giwʲ	гывь
guidhe	giwʲə	гывјә
iompaigh	uːmpə	уумпә
iompú	uːmpuː	уумпуу
pointeálte	piːɴʲtʲɑːʟtʲə	пыйңтјӓӆътјә
chodladh	xoʟə	хоӆә
dhíbh	ɣʲiːbʲ	ғийбь
dhíobh	ɣʲiːb	ғийб
coiste	kosʲtʲə	коштјә
cruinníocha	kriɴʲiːəxiː	крыңиәхый
